,Name,Season,Position,Rookie Season Fantasy Points,Ffpts_Gp,Team,Games_Played,Pass_Comp,Pass_Att,Pass_Yd,Pass_Td,Pass_Int,Rush_Att,Rush_Yd,Rush_Td,Rec_Target,Rec_Reception,Rec_Yd,Rec_Td,Fgm,Fga,Epm,Epa,Tackle,Assist,Sack,Pd,Int,Ff,Fr,Draft_Pick,Height_Combine,Weight_Combine,Wonderlic,Forty_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,Three_Cone,Pass Att_Sum,Pass Comp_Sum,Pass Conv_Sum,Pass Int_Sum,Pass Td_Sum,Pass Yard_Sum,Qb Hurry_Sum,Rec_Sum,Rec Td_Sum,Rec Yards_Sum,Rush Att_Sum,Rush Td_Sum,Rush Yard_Sum,Fumble_Sum,Fumble Lost_Sum,Kickoff Ret_Sum,Kickoff Ret Td_Sum,Kickoff Ret Yard_Sum,Kickoff Touchback_Sum,Punt Ret_Sum,Punt Ret Td_Sum,Punt Ret Yard_Sum,Off 2Xp Att_Sum,Off 2Xp Made_Sum,Points_Sum,Tackle Assist_Sum,Tackle For Loss_Sum,Tackle For Loss Yard_Sum,Tackle Solo_Sum,Pass Broken Up_Sum,Sack_Sum,Sack Yard_Sum,Int Ret_Sum,Int Ret Td_Sum,Int Ret Yard_Sum,Misc Ret_Sum,Misc Ret Td_Sum,Misc Ret Yard_Sum,Kick/Punt Blocked_Sum,Fumble Forced_Sum,Fum Ret_Sum,Fum Ret Td_Sum,Fum Ret Yard_Sum,Def 2Xp Att_Sum,Def 2Xp Made_Sum,Safety_Sum,Field Goal Att_Sum,Field Goal Made_Sum,Off Xp Kick Att_Sum,Off Xp Kick Made_Sum,Punt_Sum,Punt Yard_Sum,Kickoff_Sum,Kickoff Yard_Sum,Kickoff Onside_Sum,Kickoff Out-Of-Bounds_Sum,Pass Att_Mean,Pass Comp_Mean,Pass Conv_Mean,Pass Int_Mean,Pass Td_Mean,Pass Yard_Mean,Qb Hurry_Mean,Rec_Mean,Rec Td_Mean,Rec Yards_Mean,Rush Att_Mean,Rush Td_Mean,Rush Yard_Mean,Fumble_Mean,Fumble Lost_Mean,Kickoff Ret_Mean,Kickoff Ret Td_Mean,Kickoff Ret Yard_Mean,Kickoff Touchback_Mean,Punt Ret_Mean,Punt Ret Td_Mean,Punt Ret Yard_Mean,Off 2Xp Att_Mean,Off 2Xp Made_Mean,Points_Mean,Tackle Assist_Mean,Tackle For Loss_Mean,Tackle For Loss Yard_Mean,Tackle Solo_Mean,Pass Broken Up_Mean,Sack_Mean,Sack Yard_Mean,Int Ret_Mean,Int Ret Td_Mean,Int Ret Yard_Mean,Misc Ret_Mean,Misc Ret Td_Mean,Misc Ret Yard_Mean,Kick/Punt Blocked_Mean,Fumble Forced_Mean,Fum Ret_Mean,Fum Ret Td_Mean,Fum Ret Yard_Mean,Def 2Xp Att_Mean,Def 2Xp Made_Mean,Safety_Mean,Field Goal Att_Mean,Field Goal Made_Mean,Off Xp Kick Att_Mean,Off Xp Kick Made_Mean,Punt_Mean,Punt Yard_Mean,Kickoff_Mean,Kickoff Yard_Mean,Kickoff Onside_Mean,Kickoff Out-Of-Bounds_Mean,Class,College,Conference,Subn,Height_Ncaa,Weight_Ncaa,Home Country,Home State,Home Town,Last School
258,Zach Brown,2012,Linebacker,144,9,TEN,16,,,,,,,,,,,,,,,,,69,24,6,5,3,1,2,52,73,244,,4.44,,33.5,116,,,,,,,,,6,,,,,,,,,1,,8,,,,,,,,43,13.5,49,62,4,5.5,37,3,,24,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.461538462,,,,,,,,,0.076923077,,0.615384615,,,,,,,,3.307692308,1.038461538,3.769230769,4.769230769,0.307692308,0.423076923,2.846153846,0.230769231,,1.846153846,,,,,0.230769231,,,,,,,,,,,,,,,,,SR,northcarolina,Atlantic Coast Conference,FBS,74,230,US,MD,Columbia,Wilde Lake/Hargrave M.A.
263,Ryan Broyles,2012,Wide Receiver,43,5.4,DET,8,,,,,,0,0,0,32,22,310,2,,,,,,,,,,,,54,70,192,,4.57,21,,,,,,,,,,,,83,10,1157,1,,3,3,3,,,,,19,,196,,,60,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.222222222,1.111111111,128.5555556,0.111111111,,0.333333333,0.333333333,0.333333333,,,,,2.111111111,,21.77777778,,,6.666666667,,,,0.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,oklahoma,Big 12 Conference,FBS,70,188,US,OK,Norman,Norman HS
264,David Bruton,2010,Defensive Back,25,1.6,DEN,16,,,,,,,,,,,,,,,,,22,4,0,1,0,0,0,114,74,219,,4.4,19,41.5,132,4.28,6.6,,,,,,,1,,,,,,,,,,,,,,,,,,,36,1.5,5,61,6,,,4,,57,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,,,,,,,,,,,,,,,2.769230769,0.115384615,0.384615385,4.692307692,0.461538462,,,0.307692308,,4.384615385,,,,,0.153846154,,,,,,,,,,,,,,,,,SR,notredame,Independent,FBS,74,212,US,OH,Miamisburg,Miamisburg
265,Copeland Bryan,2008,Defensive Lineman,21.5,1.5,BUF,14,,,,,,,,,,,,,,,,,11,5,1,2,0,0,1,,76,253,,4.9,16,33,117,4.31,7.12,,,,,,,1,,,,,,,,,,,,,,,,,,,10,10.5,40,29,5,7.5,33,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.111111111,,,,,,,,,,,,,,,,,,,1.111111111,1.166666667,4.444444444,3.222222222,0.555555556,0.833333333,3.666666667,,,,,,,,0.111111111,,,,,,,,,,,,,,,,,SR,arizona,Pac-12 Conference,FBS,,,,,,
266,Armonty Bryant,2013,Defensive Lineman,18.5,2.1,CLE,9,,,,,,,,,,,,,,,,,8,3,2,1,0,0,0,217,76,263,,4.86,,31.5,118,5,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eastcentral,,,,,,,,
267,Corbin Bryant,2013,Defensive Lineman,14.5,1.3,BUF,11,,,,,,,,,,,,,,,,,7,7,1,0,0,0,0,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,9,8.5,29,16,1,1,9,1,,17,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.461538462,,,,,,,,,,,,,,,,,,,0.692307692,0.653846154,2.230769231,1.230769231,0.076923077,0.076923077,0.692307692,0.076923077,,1.307692308,,,,,0.076923077,,,,,,,,,,,,,,,,,SR,northwestern,Big Ten Conference,FBS,76,300,US,IL,Chicago,Morgan Park
268,Dez Bryant,2010,Wide Receiver,92.1,7.7,DAL,12,,,,,,1,0,0,72,45,561,6,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,17,4,323,,,,1,1,2,,43,,3,1,111,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666667,1.333333333,107.6666667,,,,0.333333333,0.333333333,0.666666667,,14.33333333,,1,0.333333333,37,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR,oklahomastate,Big 12 Conference,FBS,74,220,US,TX,Lufkin,Lufkin
269,Red Bryant,2008,Defensive Lineman,7,1.8,SEA,4,,,,,,,,,,,,,,,,,6,2,0,0,0,0,0,121,76,318,,5,20,28,111,4.64,7.75,,,,,,,1,,,,,,,,,,,,,,,,,,,33,6,18,13,2,1,11,,,,1,,-5,1,1,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,,,,,,,,,,,,,,,2.538461538,0.461538462,1.384615385,1,0.153846154,0.076923077,0.846153846,,,,0.076923077,,-0.384615385,0.076923077,0.076923077,,,,,,,,,,,,,,,,,SR,texasam,Southeastern Conference,FBS,77,322,US,TX,Jasper,Jasper
270,Michael Buchanan,2013,Defensive Lineman,16,2.3,NE,7,,,,,,,,,,,,,,,,,7,2,2,0,0,0,0,226,77,255,,4.78,22,33,113,,6.91,,,,,,,5,,,,,,,,,,,,,,,,,,,34,7,47,23,5,4.5,43,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.416666667,,,,,,,,,,,,,,,,,,,2.833333333,0.583333333,3.916666667,1.916666667,0.416666667,0.375,3.583333333,0.083333333,,,,,,,0.083333333,,,,,,,,,,,,,,,,,SR,illinois,Big Ten Conference,FBS,78,240,US,IL,Homewood,Homewood-Flossmoor
271,Eldra Buckley,2009,Running Back,10.4,0.7,PHI,16,,,,,,15,44,1,0,0,0,0,,,,,,,,,,,,,70,202,,4.56,14,35.5,120,4.43,7.71,,,,,,,,5,,20,24,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,24,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,chattanooga,Southern,FCS,,,,,,
272,David Buehler,2009,Kicker,0,0,DAL,16,,,,,,,,,,,,,0,0,0,0,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,92,,,,2,,,,,,,,,,,,,,,,,,13,9,66,65,,,88,5976,,,,,,,,,,,,,,,,,,,,,3.692307692,,,,,,7.076923077,,,,0.153846154,,,,,,,,,,,,,,,,,,1,0.692307692,5.076923077,5,,,6.769230769,459.6923077,,,SR,southerncalifornia,Pac-12 Conference,FBS,74,225,US,CA,Anaheim ,Canyon/Santa Ana JC
273,Marcus Buggs,2009,Linebacker,17.5,3.5,BUF,5,,,,,,,,,,,,,,,,,14,7,0,0,0,0,0,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,35,12.5,68,41,1,3,23,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2.916666667,1.041666667,5.666666667,3.416666667,0.083333333,0.25,1.916666667,,,,,,,,0.083333333,,,,,,,,,,,,,,,,,SR,vanderbilt,Southeastern Conference,FBS,71,228,US,TN,Madison,Goodpasture Christian
274,Melvin Bullitt,2007,Defensive Back,24.5,1.6,IND,15,,,,,,,,,,,,,,,,,17,3,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,7.5,19,30,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.576923077,1.461538462,2.307692308,0.538461538,,,0.076923077,,,,,,,,,,,,,,,,,,,,,,,,SR,texasam,Southeastern Conference,FBS,,,,,,
275,Randy Bullock,2013,Kicker,104,6.5,HOU,16,,,,,,,,,,,,,26,35,26,26,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,142,,,,,,,,,,,,,,,,,,,,,,33,29,57,55,,,96,6316,1,3,,,,,,,,,,,,,,,,,,,2.461538462,,,,,,10.92307692,,,,,,,,,,,,,,,,,,,,,,2.538461538,2.230769231,4.384615385,4.230769231,,,7.384615385,485.8461538,0.076923077,0.230769231,SR,texasam,Southeastern Conference,FBS,69,212,US,TX,Klein,Klein
276,Daniel Bullocks,2006,Defensive Back,75,5,DET,15,,,,,,,,,,,,,,,,,55,20,1,3,0,1,0,40,73,212,,4.38,18,38,124,4.18,6.92,,,,,,,,,,,,,,,,,,,,1,,16,,,6,37,4,8,46,8,,,1,,12,,,,1,2,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083333333,,1.333333333,,,0.5,3.083333333,0.333333333,0.666666667,3.833333333,0.666666667,,,0.083333333,,1,,,,0.083333333,0.166666667,0.083333333,0.083333333,2.5,,,,,,,,,,,,,,SR,nebraska,Big Ten Conference,FBS,,,,,,
277,Michael Bumpus,2008,Wide Receiver,10.8,2.7,SEA,4,,,,,,0,0,0,9,5,48,1,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,70,4,789,1,,6,,,1,,24,,16,,106,,,24,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,0.083333333,,,,5.833333333,0.333333333,65.75,0.083333333,,0.5,,,0.083333333,,2,,1.333333333,,8.833333333,,,2,,,,0.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,washingtonstate,Pac-12 Conference,FBS,72,198,US,CA,Culver City,Culver City
278,Brodrick Bunkley,2006,Defensive Lineman,7.5,0.6,PHI,13,,,,,,,,,,,,,,,,,6,3,0,0,0,0,0,14,75,306,,5.01,44,32.5,113,,,,,,,,,2,,,,,,,,,,,,,,,,,,,27,25,90,39,,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,2.25,2.083333333,7.5,3.25,,0.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,SR,floridastate,Atlantic Coast Conference,FBS,,,,,,
279,Vontaze Burfict,2012,Linebacker,106,7.1,CIN,15,,,,,,,,,,,,,,,,,72,52,1,2,0,0,1,,73,248,,5,,30,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,42,40,3,5,40,1,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.230769231,0.538461538,3.230769231,3.076923077,0.230769231,0.384615385,3.076923077,0.076923077,,2.769230769,,,,,,,,,,,,,,,,,,,,,,JR,arizonastate,Pac-12 Conference,FBS,75,250,US,CA,Corona,Centennial
280,Prescott Burgess,2007,Linebacker,3.5,0.4,BAL,8,,,,,,,,,,,,,,,,,3,1,0,0,0,0,0,207,76,240,,4.82,19,32.5,106,4.31,7.01,,,,,,,1,,,,,,,,,,,,,,,,,,6,15,6.5,36,33,3,3,28,2,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083333333,,,,,,,,,,,,,,,,,,0.5,1.25,0.541666667,3,2.75,0.25,0.25,2.333333333,0.166666667,0.083333333,5.5,,,,,,,,,,,,,,,,,,,,,,SR,michigan,Big Ten Conference,FBS,,,,,,
281,Morgan Burnett,2010,Defensive Back,19,4.8,GB,4,,,,,,,,,,,,,,,,,12,2,0,1,1,0,0,71,74,209,,4.51,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4,11,48,4,,,4,,40,1,,-23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.642857143,0.285714286,0.785714286,3.428571429,0.285714286,,,0.285714286,,2.857142857,0.071428571,,-1.642857143,0.071428571,0.071428571,,,,,,,,,,,,,,,,,JR,georgiatech,Atlantic Coast Conference,FBS,73,210,US,GA,College Park,North Clayton
282,Miles Burris,2012,Linebacker,94,6.3,OAK,15,,,,,,,,,,,,,,,,,62,34,1.5,4,1,0,0,129,74,246,,4.73,31,37.5,121,,,,,,,,,1,,,,,,,,,,,,,,,,,,,31,19.5,85,46,1,8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,,,,,,,,,,,,,,,2.384615385,1.5,6.538461538,3.538461538,0.076923077,0.615384615,4.615384615,,,,,,,,,,,,,,,,,,,,,,,,,SR,sandiegostate,Mountain West Conference,FBS,75,235,US,CA,Granite Bay,Granite Bay High
283,Antwon Burton,2007,Defensive Lineman,5,0.8,DEN,6,,,,,,,,,,,,,,,,,4,0,0,1,0,0,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,40,5,21,26,3,1.5,14,1,,,,,,,3,1,,19,,,,,,,,,,,,,,,,,,,,0.090909091,,,,,,,,,,,,,,,,,,,3.636363636,0.454545455,1.909090909,2.363636364,0.272727273,0.136363636,1.272727273,0.090909091,,,,,,,0.272727273,0.090909091,,1.727272727,,,,,,,,,,,,,,SR,temple,American Athletic Conference,FBS,,,,,,
284,Keenan Burton,2008,Wide Receiver,22.7,1.9,STL,12,,,,,,2,3,0,27,12,164,1,,,,,,,,,,,,128,73,201,,4.44,10,38.5,125,4.2,6.77,,,,,,,,66,9,741,,,,,,28,,679,,1,,9,,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.75,61.75,,,,,,2.333333333,,56.58333333,,0.083333333,,0.75,,0.083333333,4.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,kentucky,Southeastern Conference,FBS,74,195,US,KY,Louisville,DuPont Manual
285,Stephen Burton,2011,Wide Receiver,3.8,1.3,MIN,3,,,,,,0,0,0,3,2,38,0,,,,,,,,,,,,236,73,221,,4.5,19,34.5,117,4.31,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,westtexasam,,,,,,,,
286,Jarrett Bush,2007,Defensive Back,36,2.6,GB,14,,,,,,,,,,,,,,,,,24,6,0,7,0,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,47,,,,,,,,18,1.5,8,32,13,1,8,2,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,0.090909091,,,,,,,,,0.181818182,,4.272727273,,,,,,,,1.636363636,0.136363636,0.727272727,2.909090909,1.181818182,0.090909091,0.727272727,0.181818182,,,,,2,,,,,,,,,,,,,,,,,,,SR,utahstate,Mountain West Conference,FBS,,,,,,
287,Joshua Bush,2013,Defensive Back,18,1.8,NYJ,10,,,,,,,,,,,,,,,,,13,4,0,0,0,1,0,187,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,18,2,3,41,5,,,6,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,0.076923077,,0.076923077,,,,,,,,,,,,,,,,1.384615385,0.153846154,0.230769231,3.153846154,0.384615385,,,0.461538462,,8.846153846,,,,,,,,,,,,,,,,,,,,,,SR,wakeforest,Atlantic Coast Conference,FBS,71,205,US,NC,Lexington,West Davidson
288,Michael Bush,2008,Running Back,76.1,5.4,OAK,14,,,,,,94,419,3,30,19,162,0,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,1,,3,17,3,128,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,17,3,128,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,louisville,American Athletic Conference,FBS,,,,,,
289,Rafael Bush,2012,Defensive Back,29,2.4,NO,12,,,,,,,,,,,,,,,,,16,4,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,southcarolinastate,Mid-Eastern,FCS,,,,,,
290,Reggie Bush,2006,Running Back,178.6,11.2,NO,16,,,,,,154,558,6,122,89,748,2,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,37,2,478,200,16,1740,3,2,28,,493,,18,1,179,,,114,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153846154,,,,,,,2.846153846,0.153846154,36.76923077,15.38461538,1.230769231,133.8461538,0.230769231,0.153846154,2.153846154,,37.92307692,,1.384615385,0.076923077,13.76923077,,,8.769230769,,,,0.076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR,southerncalifornia,Pac-12 Conference,FBS,,,,,,
291,John Busing,2009,Defensive Back,37,2.3,HOU,16,,,,,,,,,,,,,,,,,26,6,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,8.5,47,53,,2,14,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.772727273,4.272727273,4.818181818,,0.181818182,1.272727273,0.090909091,,,,,,,0.090909091,,,,,,,,,,,,,,,,,SR,miami,Mid-American Conference,FBS,,,,,,
292,Brice Butler,2013,Wide Receiver,10.3,1.3,OAK,8,,,,,,0,0,0,17,9,103,0,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,24,4,347,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.181818182,0.363636364,31.54545455,,,,,,,,,,,,,,,2.181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,sandiegostate,Mountain West Conference,FBS,75,205,US,GA,Norcross,Southern California
293,Darius Butler,2009,Defensive Back,62.5,4.5,NE,14,,,,,,,,,,,,,,,,,32,3,0,8,3,0,0,41,71,183,,4.41,,43,134,4.18,6.92,,,,,,,,9,1,123,2,1,13,,,20,,471,,,,,,,12,12,3,9,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.1,12.3,0.2,0.1,1.3,,,2,,47.1,,,,,,,1.2,1.2,0.3,0.9,2.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,connecticut,American Athletic Conference,FBS,70,187,US,FL,Fort Lauderdale,Coral Springs Charter
294,Deon Butler,2009,Wide Receiver,17.5,1.1,SEA,16,,,,,,0,0,0,42,15,175,0,,,,,,,,,,,,91,71,182,,4.31,12,34.5,118,4.48,7.01,,,,,,,,47,7,810,1,,5,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.615384615,0.538461538,62.30769231,0.076923077,,0.384615385,,,,,,,,,,,,3.230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,pennstate,Big Ten Conference,FBS,70,168,US,VA,Woodbridge,C.D. Hylton
296,Donald Butler,2011,Linebacker,114.5,7.2,SD,16,,,,,,,,,,,,,,,,,76,19,2,2,1,2,1,79,73,245,,4.62,35,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,22,15.5,35,72,2,1,8,2,,15,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.083333333,,,,,,,,,,,,,,,,,,,1.833333333,1.291666667,2.916666667,6,0.166666667,0.083333333,0.666666667,0.166666667,,1.25,,,,,0.25,,,,,,,,,,,,,,,,,SR,washington,Pac-12 Conference,FBS,73,235,US,CA,Sacramento,Del Campo
297,Quincy Butler,2009,Defensive Back,31.5,2.3,STL,14,,,,,,,,,,,,,,,,,25,3,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2,4,36,8,,,5,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416666667,0.166666667,0.333333333,3,0.666666667,,,0.416666667,,6.333333333,,,,,,,,,,,,,,,,,,,,,,SR,texaschristian,Big 12 Conference,FBS,,,,,,
298,Victor Butler,2009,Linebacker,31,1.9,DAL,16,,,,,,,,,,,,,,,,,12,4,3,0,0,1,1,110,74,248,,4.76,24,33,113,4.4,7.21,,,,,,,5,,,,,,,,,,,,,,,,,,,34,21.5,94,31,,12,78,,,,,,,,4,1,,4,,,,,,,,,,,,,,,,,,,,0.384615385,,,,,,,,,,,,,,,,,,,2.615384615,1.653846154,7.230769231,2.384615385,,0.923076923,6,,,,,,,,0.307692308,0.076923077,,0.307692308,,,,,,,,,,,,,,SR,oregonstate,Pac-12 Conference,FBS,74,238,US,CA,Rialto,Eisenhower
299,Nathan Byham,2010,Tight End,2.7,0.2,SF,14,,,,,,,,,7,5,27,0,,,,,,,,,,,,182,76,268,,4.97,,29,109,,,,,,,,,,10,,108,,,,1,1,1,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.428571429,,15.42857143,,,,0.142857143,0.142857143,0.142857143,,-0.714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,pittsburgh,Atlantic Coast Conference,FBS,76,265,US,PA,Franklin,Franklin
300,Joshua Bynes,2012,Linebacker,8,4,BAL,2,,,,,,,,,,,,,,,,,4,6,0,1,0,0,0,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,37,5.5,16,36,5,1,7,3,,33,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.615384615,,,,,,,,,,,,,,,,,,,2.846153846,0.423076923,1.230769231,2.769230769,0.384615385,0.076923077,0.538461538,0.230769231,,2.538461538,,,,,0.076923077,,,,,,,,,,,,,,,,,SR,auburn,Southeastern Conference,FBS,74,235,US,FL,Lauderdale Lakes,Boyd Anderson
301,Dominique Byrd,2006,Tight End,9.9,2,STL,5,,,,,,,,,3,2,39,1,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,29,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.416666667,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,southerncalifornia,Pac-12 Conference,FBS,,,,,,
302,Jairus Byrd,2009,Defensive Back,95,6.8,BUF,14,,,,,,,,,,,,,,,,,33,12,0,11,9,0,0,42,,,,,,,,,,,,,,,,,1,,7,,,,2,2,,,,,26,1,320,,,6,23,1.5,3,60,14,,,5,,52,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,0.538461538,,,,0.153846154,0.153846154,,,,,2,0.076923077,24.61538462,,,0.461538462,1.769230769,0.115384615,0.230769231,4.615384615,1.076923077,,,0.384615385,,4,,,,,0.076923077,,,,,,,,,,,,,,,,,JR,oregon,Pac-12 Conference,FBS,72,205,US,MO,Clayton,Clayton HS
303,Travaris Cadet,2012,Running Back,4.9,1.2,NO,4,,,,,,1,5,0,8,5,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,7,,6,,,4,,87,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,7,,6,,,4,,87,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,appalachianstate,Southern,FCS,,,,,,
304,Andre Caldwell,2008,Wide Receiver,13.1,1.9,CIN,7,,,,,,5,53,0,19,11,78,0,,,,,,,,,,,,97,73,204,,4.35,,33,124,4.11,6.75,,,,,,,,56,7,761,12,1,58,1,1,,,,,,,,,,48,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,0.7,76.1,1.2,0.1,5.8,0.1,0.1,,,,,,,,,,4.8,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,florida,Southeastern Conference,FBS,72,200,US,FL,Tampa,Jefferson
305,David Caldwell,2011,Defensive Back,58,3.6,IND,16,,,,,,,,,,,,,,,,,41,26,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,williammary,Colonial,FCS,,,,,,
306,Brian Calhoun,2006,Running Back,3.9,0.6,DET,7,,,,,,7,19,0,2,2,20,0,,,,,,,,,,,,74,69,201,,4.57,18,31.5,124,4.24,7.05,1,,,,,,,53,2,571,348,22,1636,3,1,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076923077,,,,,,,4.076923077,0.153846154,43.92307692,26.76923077,1.692307692,125.8461538,0.230769231,0.076923077,,,,,,,,,,11.07692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR,wisconsin,Big Ten Conference,FBS,,,,,,
