,Name,Season,Position,Rookie Season Fantasy Points,Ffpts_Gp,Team,Games_Played,Pass_Comp,Pass_Att,Pass_Yd,Pass_Td,Pass_Int,Rush_Att,Rush_Yd,Rush_Td,Rec_Target,Rec_Reception,Rec_Yd,Rec_Td,Fgm,Fga,Epm,Epa,Tackle,Assist,Sack,Pd,Int,Ff,Fr,Draft_Pick,Height_Combine,Weight_Combine,Wonderlic,Forty_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,Three_Cone,Pass Att_Sum,Pass Comp_Sum,Pass Conv_Sum,Pass Int_Sum,Pass Td_Sum,Pass Yard_Sum,Qb Hurry_Sum,Rec_Sum,Rec Td_Sum,Rec Yards_Sum,Rush Att_Sum,Rush Td_Sum,Rush Yard_Sum,Fumble_Sum,Fumble Lost_Sum,Kickoff Ret_Sum,Kickoff Ret Td_Sum,Kickoff Ret Yard_Sum,Kickoff Touchback_Sum,Punt Ret_Sum,Punt Ret Td_Sum,Punt Ret Yard_Sum,Off 2Xp Att_Sum,Off 2Xp Made_Sum,Points_Sum,Tackle Assist_Sum,Tackle For Loss_Sum,Tackle For Loss Yard_Sum,Tackle Solo_Sum,Pass Broken Up_Sum,Sack_Sum,Sack Yard_Sum,Int Ret_Sum,Int Ret Td_Sum,Int Ret Yard_Sum,Misc Ret_Sum,Misc Ret Td_Sum,Misc Ret Yard_Sum,Kick/Punt Blocked_Sum,Fumble Forced_Sum,Fum Ret_Sum,Fum Ret Td_Sum,Fum Ret Yard_Sum,Def 2Xp Att_Sum,Def 2Xp Made_Sum,Safety_Sum,Field Goal Att_Sum,Field Goal Made_Sum,Off Xp Kick Att_Sum,Off Xp Kick Made_Sum,Punt_Sum,Punt Yard_Sum,Kickoff_Sum,Kickoff Yard_Sum,Kickoff Onside_Sum,Kickoff Out-Of-Bounds_Sum,Pass Att_Mean,Pass Comp_Mean,Pass Conv_Mean,Pass Int_Mean,Pass Td_Mean,Pass Yard_Mean,Qb Hurry_Mean,Rec_Mean,Rec Td_Mean,Rec Yards_Mean,Rush Att_Mean,Rush Td_Mean,Rush Yard_Mean,Fumble_Mean,Fumble Lost_Mean,Kickoff Ret_Mean,Kickoff Ret Td_Mean,Kickoff Ret Yard_Mean,Kickoff Touchback_Mean,Punt Ret_Mean,Punt Ret Td_Mean,Punt Ret Yard_Mean,Off 2Xp Att_Mean,Off 2Xp Made_Mean,Points_Mean,Tackle Assist_Mean,Tackle For Loss_Mean,Tackle For Loss Yard_Mean,Tackle Solo_Mean,Pass Broken Up_Mean,Sack_Mean,Sack Yard_Mean,Int Ret_Mean,Int Ret Td_Mean,Int Ret Yard_Mean,Misc Ret_Mean,Misc Ret Td_Mean,Misc Ret Yard_Mean,Kick/Punt Blocked_Mean,Fumble Forced_Mean,Fum Ret_Mean,Fum Ret Td_Mean,Fum Ret Yard_Mean,Def 2Xp Att_Mean,Def 2Xp Made_Mean,Safety_Mean,Field Goal Att_Mean,Field Goal Made_Mean,Off Xp Kick Att_Mean,Off Xp Kick Made_Mean,Punt_Mean,Punt Yard_Mean,Kickoff_Mean,Kickoff Yard_Mean,Kickoff Onside_Mean,Kickoff Out-Of-Bounds_Mean,Class,College,Conference,Subn,Height_Ncaa,Weight_Ncaa,Home Country,Home State,Home Town,Last School
15,Phillip Adams,2012,Defensive Back,29,2.6,OAK,11,,,,,,,,,,,,,,,,,13,2,0,5,2,0,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,southcarolinastate,Mid-Eastern,FCS,,,,,,
16,Joseph Addai,2006,Running Back,188.6,11.8,IND,16,,,,,,226,1081,7,50,40,325,1,,,,,,,,,,,,30,71,214,,4.4,18,38.5,125,4.48,7.1,,,,,,,,20,1,180,187,9,911,4,3,1,,12,,,,,,,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.538461538,0.076923077,13.84615385,14.38461538,0.692307692,70.07692308,0.307692308,0.230769231,0.076923077,,0.923076923,,,,,,,4.615384615,0.076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,louisianastate,Southeastern Conference,FBS,,,,,,
17,Mario Addison,2011,Defensive Lineman,4,0.8,CHI,5,,,,,,,,,,,,,,,,,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,12,15.5,63,35,1,10.5,50,,,,,,,,3,1,,13,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1,1.291666667,5.25,2.916666667,0.083333333,0.875,4.166666667,,,,,,,,0.25,0.083333333,,1.083333333,,,,,,,,,,,,,,SR,troy,Sun Belt Conference,FBS,75,254,US,AL,Birmingham,Tarrant HS
18,Victor Adeyanju,2006,Defensive Lineman,47,3.9,STL,12,,,,,,,,,,,,,,,,,30,4,1,1,0,0,2,113,76,274,,4.86,22,32,112,4.41,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,63,32,2,6.5,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.2,6.3,3.2,0.2,0.65,5.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,SR,indiana,Big Ten Conference,FBS,,,,,,
19,Xavier Adibi,2008,Linebacker,33,4.7,HOU,7,,,,,,,,,,,,,,,,,27,8,0,0,0,0,1,118,74,232,,4.69,,30,110,4.47,,,,,,,,3,,,,,,,,,,,,,,,,,,6,60,12,23,55,5,3,4,2,1,71,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.214285714,,,,,,,,,,,,,,,,,,0.428571429,4.285714286,0.857142857,1.642857143,3.928571429,0.357142857,0.214285714,0.285714286,0.142857143,0.071428571,5.071428571,,,,,0.071428571,,,,,,,,,,,,,,,,,SR,virginiatech,Atlantic Coast Conference,FBS,74,236,US,VA,Hampton,Phoebus
20,Spencer Adkins,2009,Linebacker,3,0.6,ATL,5,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,24,15,,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,1,4,2.5,,0.666666667,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,SR,miami,Atlantic Coast Conference,FBS,71,246,US,FL,Naples,Naples
21,Al Afalava,2009,Defensive Back,68,5.2,CHI,13,,,,,,,,,,,,,,,,,43,10,2,7,0,1,1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,2,4,25,8,,,2,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545454545,1,0.181818182,0.363636364,2.272727273,0.727272727,,,0.181818182,0.090909091,2.363636364,,,,,,,,,,,,,,,,,,,,,,SR,oregonstate,Pac-12 Conference,FBS,71,212,US,HI,Laie,Kahuku
22,Cj Ah,2009,Defensive Lineman,21.5,2.7,STL,8,,,,,,,,,,,,,,,,,16,1,1,1,0,0,0,239,76,274,,4.7,26,36.5,108,4.4,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oklahoma,,,,,,,,
23,Kamar Aiken,2011,Wide Receiver,0,0,BUF,2,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,486,,,,1,,,,,,,,,,,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.461538462,0.153846154,37.38461538,,,,0.076923077,,,,,,,,,,,0.923076923,,,,0.153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,centralflorida,American Athletic Conference,FBS,74,219,US,FL,Hollywood,Chaminade-Madonna
24,Seyi Ajirotutu,2010,Wide Receiver,38.2,3.8,SD,10,,,,,,0,0,0,23,13,262,2,,,,,,,,,,,,,76,204,,4.6,14,36,115,4.39,7.22,,,,,,,,49,7,677,,,,2,2,,,,,1,,,,,42,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.769230769,0.538461538,52.07692308,,,,0.153846154,0.153846154,,,,,0.076923077,,,,,3.230769231,,,,,,,,,,,,,,0.076923077,,,,,,,,,,,,,,,,,,SR,fresnostate,Mountain West Conference,FBS,76,210,US,CA,El Dorado Hills,Oak Ridge
25,Ikaika Alamafrancis,2007,Linebacker,9.5,1.6,DET,6,,,,,,,,,,,,,,,,,7,5,0,0,0,0,0,58,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,18,10,51,21,2,4,28,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.230769231,,,,,,,,,,,,,,,,,,,1.384615385,0.769230769,3.923076923,1.615384615,0.153846154,0.307692308,2.153846154,,,,,,,,0.076923077,,,,,,,,,,,,,,,,,SR,hawaii,Mountain West Conference,FBS,,,,,,
26,Alex Albright,2011,Linebacker,9.5,0.6,DAL,16,,,,,,,,,,,,,,,,,8,3,0,0,0,0,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,12,9,40,18,3,3.5,26,1,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142857143,,,,,,,,,,,,,,,,,,,1.714285714,1.285714286,5.714285714,2.571428571,0.428571429,0.5,3.714285714,0.142857143,,3.142857143,,,,,,,,,,,,,,,,,,,,,,SR,bostoncollege,Atlantic Coast Conference,FBS,77,251,US,OH,Cincinnati,St. Xavier
27,Danario Alexander,2010,Wide Receiver,36.6,4.6,STL,8,,,,,,0,0,0,37,20,306,1,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,40,,113,14,1781,1,,10,1,,,,,,,,,,,84,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153846154,0.076923077,,,0.076923077,3.076923077,,8.692307692,1.076923077,137,0.076923077,,0.769230769,0.076923077,,,,,,,,,,,6.461538462,,,,0.076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,missouri,Southeastern Conference,FBS,77,215,US,TX,Marlin,Marlin
28,Frank Alexander,2012,Defensive Lineman,31,2.8,CAR,11,,,,,,,,,,,,,,,,,10,8,2.5,3,0,0,2,103,76,270,,4.82,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,19,19,81,35,8,8.5,49,1,,27,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.583333333,,,,,,,,,,,,,,,,,,,1.583333333,1.583333333,6.75,2.916666667,0.666666667,0.708333333,4.083333333,0.083333333,,2.25,,,,,0.25,,,,,,,,,,,,,,,,,SR,oklahoma,Big 12 Conference,FBS,76,255,US,LA,Baton Rouge,Southern Lab School
